Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.03873,-0.0011896,0.034836,0,0,0,4.6909,0.011728,6.0956E-06,-2.7185E-05,0.0057606,-2.1839E-05,0.009448,0,0,0,0,0,0,package://RSSAssemble/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://RSSAssemble/meshes/base_link.STL,,BODY-1,basec,ry,rjoint,revolute,0.07575,-0.17837,-0.20332,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
rlink,0.028006,-0.19944,-0.038116,0,0,0,0.59134,0.0011099,-0.00014305,5.4467E-05,0.00074586,-0.00015193,0.0012128,0,0,0,0,0,0,package://RSSAssemble/meshes/rlink.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://RSSAssemble/meshes/rlink.STL,,R2-1,rtc,rz,rjoint,continuous,0.07575,-0.17837,-0.20332,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
llink,-0.027997,0.19943,0.038116,0,0,0,0.59123,0.0011098,-0.00014307,5.4478E-05,0.0007458,-0.00015194,0.0012127,0,0,0,0,0,0,package://RSSAssemble/meshes/llink.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://RSSAssemble/meshes/llink.STL,,L1-1,ltc,lz,ljoint,continuous,0.07575,0.17838,-0.20332,-1.5708,0,-3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
