Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0387303798095905,-0.00118959702369348,0.0148357037518236,0,0,0,4.69089563690233,0.0117275106386608,6.09512282228781E-06,-2.71844429819199E-05,0.00576063687448701,-2.18386499343736E-05,0.00944800113348651,0,0,0,0,0,0,package://ziqexo/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ziqexo/meshes/base_link.STL,,BODY-1,c0,rz1,R1J,continuous,0.15962,0.091055,-0.0087816,0,0,0.16768,base_link,0,0,1,,,,,,,,,,,,
L1L,-0.104730378324795,-0.172689588781392,0.0238672692967335,0,0,0,4.69089576707843,0.011727509637516,6.09530813314716E-06,-2.71844152503246E-05,0.00576063702317705,-2.18387815856666E-05,0.00944800012033632,0,0,0,0,0,0,package://ziqexo/meshes/L1L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ziqexo/meshes/L1L.STL,,L1-1,L1C,L1Z,L1J,continuous,0.0659999999999998,0.171500000000065,-0.00878156854282648,0,0,-0.0166351038220328,base_link,0,0,-1,5,5,-1,1,,,,,,,,
L2L,-0.130317801248485,-0.18108988241994,0.078617268671564,0,0,0,4.69089580990493,0.0117274387900655,-2.14518006338922E-05,-2.72849448350978E-05,0.00576070796318936,-2.17130295400487E-05,0.00944800012711411,0,0,0,0,0,0,package://ziqexo/meshes/L2L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ziqexo/meshes/L2L.STL,,L2-1,L2C,L2X,L2J,continuous,0.0249999999999921,0.00899999999999213,-0.05475,0,0,0.0046166963452234,L1L,0.999989343076356,-0.00461667994528388,0,5,5,-1,1,,,,,,,,
L3L,-0.129480378439562,-0.181689588155087,0.112617268681241,0,0,0,4.69089580943956,0.0117275096861212,6.09530682904846E-06,-2.7184411934192E-05,0.00576063706629768,-2.18387637533629E-05,0.00944800012648934,0,0,0,0,0,0,package://ziqexo/meshes/L3L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ziqexo/meshes/L3L.STL,,L3-1,L3C,L3X,L3J,continuous,0.00025,0,-0.034,0,0,-0.0046167,L2L,-1,0,0,5,5,-1,1,,,,,,,,
L4L,-0.129480378293527,-0.181689588689617,0.146617269184717,0,0,0,4.69089577024095,0.0117275096420417,6.09530811813578E-06,-2.71844151629961E-05,0.00576063702746607,-2.18387802950609E-05,0.00944800012060679,0,0,0,0,0,0,package://ziqexo/meshes/L4L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ziqexo/meshes/L4L.STL,,L4-1,L4C,L4X,L4J,continuous,0.00025,0,-0.034,0,0,0,L3L,-1,0,0,5,5,-1,1,,,,,,,,
L5L,-0.129730378443383,-0.181689588160934,0.180617268682207,0,0,0,4.69089581004689,0.0117275096871242,6.09530682598E-06,-2.71844119675018E-05,0.00576063706634924,-2.18387641474907E-05,0.00944800012744442,0,0,0,0,0,0,package://ziqexo/meshes/L5L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ziqexo/meshes/L5L.STL,,L5-1,L5C,L5X,L5J,continuous,0.00025,0,-0.034,0,0,0,L4L,-1,0,0,5,5,-1,1,,,,,,,,
L6L,0.0277825488062467,-0.0467460284559176,-0.199433302158825,0,0,0,0.591248151817611,0.0011103088707956,5.49506317780545E-05,-0.000143769510788408,0.00121220167629709,-0.000151272909156448,0.000745808196991831,0,0,0,0,0,0,package://ziqexo/meshes/L6L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ziqexo/meshes/L6L.STL,,L6-1,L6C,L6Y,L6J,continuous,-0.0152499999999999,0.00637500000000013,-0.0575399362039866,0,0,0.00461669634513596,L5L,-0.00461667994518117,-0.999989343076357,0,5,5,-1,1,,,,,,,,
R1L,-0.109566712495577,0.167240003750459,0.0238672723116034,0,0,0,4.69089556922219,0.0117222650017562,0.000176963433195596,-2.65476408591164E-05,0.00576588350195832,-2.260833759597E-05,0.00944800214340692,0,0,0,0,0,0,package://ziqexo/meshes/R1L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ziqexo/meshes/R1L.STL,,R1-1,R1C,R1Z,R1J,continuous,0.0660000000000012,-0.171499999999678,-0.00878156854235404,0,0,-0.0120184074772329,base_link,0,0,1,5,5,-1,1,,,,,,,,
R2L,-0.134564399322651,0.175527232028616,0.0786172723290321,0,0,0,4.69089556755207,0.0117222650002732,0.000176963433148413,-2.6547640901762E-05,0.00576588350111037,-2.26083379762766E-05,0.00944800214276403,0,0,0,0,0,0,package://ziqexo/meshes/R2L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ziqexo/meshes/R2L.STL,,R2-1,R2C,R2X,R2J,continuous,0.0252475842210998,-0.00828006588130253,-0.0547499999999979,0,0,0,R1L,0.999589516231009,0.0286495905914415,0,5,5,-1,1,,,,,,,,
R3L,-0.129980379538716,0.179310395808592,0.112617272438364,0,0,0,4.69089556542918,0.0117275117056796,6.09508715275161E-06,-2.71844631437412E-05,0.00576063679575562,-2.18384785703547E-05,0.00944800214275133,0,0,0,0,0,0,package://ziqexo/meshes/R3L.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://ziqexo/meshes/R3L.STL,,R3-1,R3C,R3X,R3J,continuous,0.000249897379056951,0,-0.0339999999999676,0,0,0.0286535112991777,R2L,-1,0,0,5,5,-1,1,,,,,,,,
