Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
0XBody,-0.0019165,-0.020284,-1.5446E-08,0,0,0,0.069744,8.68E-05,-2.3313E-05,-3.6916E-12,8.6964E-05,2.5395E-11,8.7186E-05,0,0,0,0,0,0,package://shell/meshes/0XBody.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://shell/meshes/0XBody.STL,,LB-1,0Xcordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
0CenterBody,-0.0022809,-0.0021962,1.0803E-06,0,0,0,0.018688,1.0293E-05,8.5442E-08,-6.5039E-08,1.0301E-05,6.5245E-08,9.1191E-06,0,0,0,0,0,0,package://shell/meshes/0CenterBody.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://shell/meshes/0CenterBody.STL,,core-1,0CenterCordinate,0Xaxis,0XJoint,continuous,-0.0218,0,0,0,0,0,0XBody,1,0,0,,,,,,,,,,,,
0YBody,-0.020284,-0.0019165,1.5445E-08,0,0,0,0.069744,8.6964E-05,-2.3313E-05,-2.5395E-11,8.68E-05,3.6916E-12,8.7186E-05,0,0,0,0,0,0,package://shell/meshes/0YBody.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://shell/meshes/0YBody.STL,,RB-1,0Ycordinate,0Yaxis,0Yjoint,continuous,0,0.0218,0,0,0,0,0CenterBody,0,-1,0,,,,,,,,,,,,
